id,word,wordtype,wordmeaning
2161,laser disk ,noun,"a plastic disk containing information in the form of small etched dots that can be read by a laser, used to record images or sound in digital form"
2162,last ,adverb, 1. coming at the end of a series. 2. most recent or most recently  
2163,last colour,noun," the last of a series of colours printed in four-colour printing
"
2164,last in first out ,noun,"1. a redundancy policy in which the people who have been most recently appointed are the first to be made redundant 2. an accounting method where stock is valued at the price of the latest purchases
"
2165,last quarter ,noun, same as fourth quarter
2166,late ,adjective,"1. after the time stated or agreed. 2. at the end of a period of time   

2167,lateral reversal ,noun,"the reversal of an image to give an exact mirror image of the plate
"
2168,latest ,adjetive,"most recent
"
2169,latest edition ,noun,the most recent printing of a newspaper
2170,latex,noun,"a rubber solution added to some papers to make them more durable
"
2171,Latin alphabet   ,noun," 1. the alphabet used in Roman times, with 21 letters and no 'j', 'u', 'w', 'y' or 'z' 2. a modern western alphabet, used in most European languages, except Greek and the Cyrillic languages such as Russian and Bulgarian
"
2172,launch ,verb," to start a new activity or make a new product available to the public   

2173,launch date ,noun," the date when a new product is officially shown to the public for the first time
"
2174,launching,noun,"the act of putting a new product on the market
"
2175,launching cost ,noun," the cost of publicity for a new product
"
2176,launch party ,noun," a party held to advertise the launching of a new product
"
2177,law,noun,"a system of rules and regulations used by a government or society to control business agreements, social relationships and crime
"
2178,law books ,plural noun,"books referring to the law, e.g. statutes, official publications and commentaries
"
2179,law of supply and demand ,noun,the general rule that the amount of a product which is available is related to the needs of potential customers
2180,laws,plural noun,"the rules by which a country is governed and the activities of people and organisations controlled
"
2181,lawyer,noun," a person who has studied law and can act for people on legal business
"
2182,lay,noun,"1. the way in which something is set out 2. one of two metal guides for paper in the printing press or folding machine
"
2183,lay boy ,noun,"a device which collects the cut sheets after they have been printed and stacks them
"
2184,lay edge ,noun,"the edge of a sheet of paper which touches one of the lays on the printing press
"
2185,layer,noun,a thin film of a substance. 
2186,lay gauge,noun,"a mechanism on the printing press which aligns with the lay edges of the paper, thus making sure that each sheet is printed in exactly the same place"
2187,laying press   ,noun," a small press used to hold handbound books while they are being glued. Also called lying press
"
2188,lay marks ,plural noun," marks on the sheet showing which are the lay edges
"
2189,lay of the case ,noun,"the way in which the different characters are placed in compartments in a case
"
2190,lay out lay out ,verb, to design the way in which a page will be printed
2191,layout,noun," the design of a page of printed matter including position on the page of illustrations, text and type sizes
"
2192,layout paper   ,noun," same as detail paper
"
2193,layout sheet ,noun,"a preprinted sheet with grids showing the basic design of a page, used by designers to prepare final layouts
"
2194,layout table ,noun," a light table used for laying out pages
"
2195,layout terminal,noun," a keyboard and computer monitor on which page layouts can be prepared
"
2196,LBF,abbreviation, London Book Fair
2197,ic,abbreviation, lower case
2198,LC,abbreviation," LIBRARIES Library of Congress
"
2199,L/C,abbreviation," L/C abbreviation letter of credit
"
2200,LCD,abbreviation," liquid crystal display
"
2201,lead1,noun,"1. the main story in a newspaper or news programme on television 2. the end of a web which is fed into the printing press   

"
2202,lead2,noun," 1. a heavy soft metal used as the main part of the alloy in cast metal type 2. a thin piece of metal used to separate lines of type 3. a black material used in pencils   a soft lead pencil   

"
2203,leader ,noun," 1. a person who manages or directs others. 2. the product which sells best 3. a piece of blank tape at the beginning of a reel, which is fed into a machine 4. same as leading article"
2204," leaders, leader lines  ",plural noun," a series of short dashes or dots which run across a page, as between chapter titles and page numbers in a contents list
"
2205, leading1 ,noun,"space inserted between lines of typeset text, either as metal strips, or via the computer program   If we increase the leading from 1 to 2 point, the book will make twelve extra pages. 

"
2206, leading2 ,adjetive," 1. most important. 2. going into a machine first
"
2207,leading article   ,noun," the main article in a newspaper, written by the editor, expressing the newspaper's official point of view. Also called leader
"
2208,leading edge   ,noun,"the edge of a sheet of paper which is held by the grippers and goes through the press first
"
2209,leading out ,noun," the act of spacing out the lines of typeset text
"
2210,lead time ,noun, the time between deciding to place an order and receiving the product.  

"
2212,leaflet  ,noun," a small folded piece of paper with printed information, often given away free as a form of advertising
"
2213,leakage  ,noun," the unofficial release of confidential information, usually to the media
"
2214,leakproof ,adjective,"not allowing breaches in secrecy or confidentiality
"
2215,leaky  ,adjective," allowing breaches in secrecy or confidentiality
"
"
2217,learned journal   ,noun," a specialised magazine on an academic subject
"
2218,learning disability ,noun,a condition that either prevents or significantly hinders somebody from learning basic skills or information at the same rate as most people of the same age learning-disabled
2219,learning-disabled  ,adjective, prevented or hindered by a learning disability from learning basic skills or information at the same rate as most people of the same age
2220,leather,noun," material made from the skins of animals, used for binding expensive books
"
2221,leatherbound book ,noun,"a book that has been bound in leather
"
2222,leather cloth   ,noun,"closely woven cloth, covered with a cellulose and oil mixture, which makes it look like leather"
2223,leatherette ,noun,"paper that has been embossed to look like leather
 "
2224,leave,verb,to let something stay as it is
2225,leave edge ,noun,"the last edge of the sheet of paper as it goes into the press
"
2226,leave out   ,noun,to exclude or omit something 
2227,lectern ,noun,"a stand with a sloping top on which a book or notes can rest in front of a standing speaker
"
2228,ledger  ,noun," a book in which accounts are written
"
2229,ledger paper   ,noun,"fine thick paper, tub-sized and coloured pale blue, grey or green, used for account books
"
2230,left-hand ,noun," belonging to the left side.
"
2231,left-hand page,noun," the page on the left of a double page spread, always with an even folio "
2232,left justification   ,noun," the process of aligning the left-hand margin on a piece of text so that the edge is even
"
2233,left justify   ,verb, to use computer commands to ensure that the left-hand margins of text are straight
2234,leg ,noun," a column that is shorter than other columns
"
2235,legal,adjective, 1. relating to the law.  2. according to the law
2236,legal adviser   ,noun," a person who advises clients about the law
"
2237,legal claim ,noun," a statement that somebody owns something legally
"
2238,legal costs ,plural noun," money spent on fees to lawyers
"
2239,legal department   ,noun," the section of a company dealing with legal matters
"
2240,legal deposit ,noun," a system that entitles some libraries to receive by law one copy of every book or publication published in that country
"
2241,legal expenses   ,plural noun," same as legal costs
"
2242,legend  ,noun,"1. a caption under a picture or diagram 2. an explanation of the symbols on a map or diagram 3. a story based on cultural traditions handed down
"
2243,legibility ,noun," the fact of being easily readable

"
2244,legible ,adjective," clear enough to be read easily
"
2245,legislation  ,noun, laws 
"
2247,lend,verb, to allow somebody to use something for a period
2248,lending library ,noun," a library which allows users to borrow items as opposed to a purely reference library
"
2249,length  ,noun,"a measurement of how long something is
"
2250,lengthwise,adverb," along the length.
"
2251,letter ,noun,"1. a piece of writing sent from one person to another usually through the post 2. a symbol used in writing which more or less represents one sound of a language
"
2252,letter fit ,noun,"the space between typeset characters
"
2253,letterform ,noun," the shape of a letter
"
2254,letterhead,noun,1. the name and address of a company or organisation printed at the top of their official notepaper 2. a sheet of paper with the name and address of a company printed at the top
2255,letter height   ,noun,"same as character height
"
2256,lettering ,noun,"1. the art of drawing letters by hand in a beautiful way 2. the printing of letters
"
2257,lettering  ,noun," 1. the art of drawing letters by hand in a beautiful way 2. the printing of letters
"
2258,letter of credit  ,noun,"a letter from a bank allowing somebody credit and promising to repay at a later date.

"
2259,letter of reference ,noun," a letter in which an employer recommends somebody for a new job
"
2260,letterpress machine,noun,"a machine which does letterpress printing
"
2261,letterpress printing   ,noun," the relief printing process, where metal type or blocks are covered with ink and the paper is pressed onto the block to make an image
"
2262,letterset,noun," the process of printing where ink is transferred from the plate to a blanket cylinder and then printed from the blanket onto paper
"
2263,letter spacing   ,noun,"extra spacing placed between letters for emphasis or to give a better visual effect
"
2264,letters patent   ,plural noun,"an official document which gives somebody the exclusive right to make and sell something they have invented
"
2265,let the buyer beware,phrase, caveat emptor 
2266,level ,adjective,"flat or not higher than the rest
"
2267,level of returns   ,noun," same as returns level
"
2268,level small caps ,plural noun,"same as even small caps
"
2269,levy ,noun, money which is demanded and collected by the government  
2270,lexicographical order  ,noun,"an order of items where the words are listed in the order of the letters of the alphabet, as in a dictionary
"
2271,lexicon ,noun," 1. an alphabetical list of words specifically related to a language or a particular subject 2. a dictionary, especially one of an ancient language such as Latin or Hebrew
"
2272,libel ,noun,"an untrue written statement which damages somebody's reputation
"
2273,libellous ,adjective," relating to writing which is untrue and damages somebody's reputation 

"
2274,librarian ,noun,"1. a person who is in charge of a library 2. a person who has usually been trained in librarianship and who works in a library
"
2275,librarianship,noun,"the study of organising and retrieving information so that it is accessible to other people
"
2276,library ,noun," a collection of books, documents, newspapers and audiovisual materials kept and organised for people to read or borrow
"
2277,library and information science,noun,"a course of study that covers all aspects of information and library management, e.g. resources, user services, organisation, evaluation, systems used, policy and representation. 

"
2278,Library Association   ,noun,"a UK professional body working to support librarians and information workers. 


2279,library binding   ,noun," a strong, durable binding for books which will withstand heavy use
"
2280,library edition ,noun,"a set of books, published in a series, either by a single author or on the same subject and with the same size and format
"
2281,library licence   ,noun,"a licence granted to a bookshop or to a local authority, allowing books to be bought at a discount for public libraries
"
2282,Library of Congress ,noun," the national library of the United States, located in Washington DC and founded by an Act of Congress in 1800. It contains more than 28 million books and pamphlets as well as presidential papers, music, photographs and recordings. 

"
2283,Library of Congress Catalog ,noun,"a catalogue of the holdings of the Library of Congress in the USA, also available online. 

"
2284,Library of Congress Catalog number  ,noun,"the number of the reference in the Library of Congress Catalog, printed inside a book published in the USA.

"
2285,Library of Congress Classification system ,noun," an American system of organising documents for information retrieval.

2286,library purchase ,noun, the purchase of books by a library from a library supplier
2287,library science   ,noun,"the study of librarianship
"
2288,library supplier ,noun," a company that supplies stationery, books, equipment and furniture needed for use in libraries
"
2289,library supply ,noun," a supply of books to libraries at a discount
"
2290,licence,noun, 1. an official document giving permission to use or do something  2. permission given by one manufacturer to another manufacturer to make copies of its products against payment of a fee
2291,license,verb," to give official permission for something to happen
"
2292,licensee ,noun," a person who has a licence, especially a licence to manufacture something
"
2293,licensing,adjective," relating to licences
"
2294,lift ,verb,"1. to copy something directly without any acknowledgement  2. to remove or end something  
"
2295,ligature,noun," 1. two characters joined together on one stem to form a combined character 2. a short line connecting two characters 

"
2296,light ,adjective," 1. not heavy or not thick. 2. not dark
"
2297,light box ,noun,"a viewer with a light inside and a matt transparent window, in which transparencies or films can be placed so that it is easy to see them
"
2298,lighten  ,verb," to make something less dark or less dense
"
2299,light face ,noun," a typeface with thin lines, which appears light on the page
"
"
2301,light-pen ,noun," a stylus with a light sensor used to scan barcodes
"
2302,light-sensitive ,adjective, reacting to light in a particular way
2303,light table ,noun," a table with a matt glass surface and a light underneath, on which film can be placed so that it is easy to see"
2304,lightweight,adjective," 1. not heavy. 2. not thought to be of a high academic standard
"
2305,lightweight paper ,noun, paper weighing less than 60gsm
2306,like-sidedness ,noun,"the quality of paper having the same finish on either side, so that it prints consistently. Compare two-sidedness"
2307,limit ,noun," a maximum predefined range used to restrict an action or thing .  

"
2308,limitation,noun," the act of allowing only a particular quantity of something
"
2309,limitation of liability   ,noun,the act of making some body liable for only a part of the damage or loss
2310,limited edition ,noun,"a work of art such as a book or painting which is only produced in very small numbers
"
2311,limited liability company ,noun,"a company where a shareholder is responsible for the company's debts only to the face value of their shares
"
2312,limited market ,noun, a market which can take only a particular quantity of goods
2313,limp  ,adjective," relating to a book cover that is not stiffened by boards but is made of more durable material than a paperback
"
2314,limp binding ,noun," a binding style using flexible material usually cheaper than hard boards
"
2315,limp-bound edition ,noun," an edition of a book with a soft cover
"
2316,line ,noun, 1. a row of words or figures in a text. 2. a type of product that a company makes or sell
2317,lineage ,noun," 1. a measurement of how many lines a text will make 2. a system for charging for advertisements by the number of column lines used
"
"
2319,line artwork ,noun," black and white graphics, with no tones. Also called line copy
"
2320,line block ,noun," a block made from a line drawing for printing, usually made of zinc. Also called line engraving
"
2321,line casting machine ,noun," a machine such as Linotype, which casts whole lines of type at a time
"
2322,line chart ,noun," a chart or graph using lines to indicate values
"
2323,line colour ,noun," a coloured illustration made by printing line drawings in different colours
"
2324,line conversion ,noun,"the process by which continuous tones are converted into lines
"
2325,line copy ,noun,"same as line artwork
"
2326,line cut ,noun,"an illustration on a metal block, using lines to show the picture"
2327,lined ,adjective,1. with lines. 2. with a lining.
2328,lined paper ,noun,"paper with thin lines printed on it
"
2329,line drawings  ,plural noun," illustrations for a book which are drawn with a pen, or have tints, but which do not need to be reproduced as halftones. Also called line illustrations
"
2330,line editor ,noun," a piece of software that allows the operator to modify one line of text from a file at a time
"
2331,line ending ,noun," a character which shows that a line has ended
"
2332,line endings  ,plural noun," the last words on each line of text, which may need to be hyphenated, with the second part of the word carried over to the next line
"
2333,line engraving,noun,same as line block
2334,line folding ,noun,"the moving of a section of a long line of text onto the next row
"
2335,line gauge,noun," an instrument for measuring type, with picas, points, etc., marked on a type of ruler
"
2336,line illustrations,plural noun, same as line drawings
2337,line increment ,noun,"the minimum distance between two lines of type, which can be as small as one eighteenth of a point
"
2338,line length ,noun,"the number of characters that can fit into a set line of type
"
2339,line management,noun,"a system of management using a hierarchical structure of jobs, so that everyone is responsible to the person immediately above them
"
2340,line measure ,noun,the length of a line of typeset characters
2341,linen ,noun, cloth made from the flax plant
2342,linen finish ,noun,"paper or board grained to look like linen
"
2343,linen paper ,noun," strong paper used for banknotes
"
2344,linen tester  ,noun,"a magnifying glass used by printers
"
2345, line of business ,noun,"a type of business or work
"
2346,line of product ,noun,"same as product line
"
2347,liner ,noun," paper used to cover boards or other papers
"
2348,line space ,noun," a white space equivalent to one line of typesetting
"
2349,line width ,noun," the number of characters across the type area of a line
"
2350,lining ,noun," 1. the act of making a line of characters straight 2. paper used to glue inside a board cover, to strengthen it and prevent warping 3. mull or kraft paper glued inside the spine of a book to strengthen it 4. the act of pasting paper inside the spine of a cased book to strengthen it"
2351,lining figures  ,plural noun,"a form of Arabic numerals which are aligned like capitals, as opposed to old face figures or non-lining figures which have ascenders and descenders. Also called modern figures
"
2352,lining papers  ,plural noun,"pages of thicker paper at the front and back of a book, glued to the first and last text pages and then glued to the cover
"
2353,linocut ,noun,"1. a design made by cutting the surface of linoleum with a knife 2. a print made from a linocut 

"
2354,Linotron  ,," a trademark for a phototypesetting machine developed by Linotype
"
2355,Linotype,," a trade name for a metal composing machine, which sets type in a metal strip as long as a line, as opposed to single characters 

"
2356,linotypist ,noun," a person who keyboards on a Linotype machine
"
2357,Linson,," a trademark for a strong binding paper which is patterned to resemble cloth
"
2358,lint ,noun," fibres which are detached from the surface of paper as it is being printed
"
2359,LINUX  ,,a trademark for a computer operating system that is a free implementation of the UNIX operating system
2360,liquid crystal display ,noun," liquid crystal that turns black when a voltage is applied, used in many small digital displays. 

"
2361,liquid laminate ,noun,"a liquid plastic coating, painted onto a cover to give it a glossy protective finish
"
2362,list,noun," 1. a series of items written down usually one under the other. 2. a catalogue

"
2363,list-building  ,noun," the creation of a specialised series of titles
"
2364,listing paper  ,noun," paper made as a long sheet, used in computer printers
"
2365,listings  ,plural noun," information items such as what films are showing at which cinemas, etc., listed in a newspaper
"
2366,list of abbreviations ,noun," a note in a reference book which lists the abbreviations used and what they stand for, usually printed at the beginning of the text, after the prelims or, in some reference works such as dictionaries, on the endpapers
"
2367,list of contents list ,noun,"same as contents list
"
2368,list price,noun,"the price of a commodity according to a printed list
"
2369,literacy,noun,"the ability to read and write 'In a withering dossier, chief inspector Graham Donaldson concluded pupils were being failed by poor teachers and weak leadership and that a fifth were leaving school without basic literacy and numeracy skills.' [Sunday Express]
"
2370,literal,noun,"a mistake made when keyboarding so that characters are transposed
"
2371,literary,adjective, relating to literature
2372,literary agency ,noun," an office which represents authors in their negotiations with publishers, and finds publishers for new works by authors, for a commission
"
2373,literary agent   ,noun,"somebody whose job is to negotiate business contracts on behalf of an author
"
2374,literary executor ,noun,"a person appointed by an author in his will, to look after their unpublished works and papers after they die
"
2375,literary forensics ,noun," the scientific examination of documents of disputed authenticity
"
2377,literary property,noun,the ownership of a copyright
2378,literary scout ,noun," a person who looks for suitable books for a publisher to publish in another country
"
2379,literate ,adjective," able to read and write
"
2380,literature,noun,"1. written works such as novels, plays and poetry, especially those considered to have artistic quality 2. printed information on a specific subject
"
2381,literature survey ,noun,"a bibliography listing material on a given subject or sometimes in a given location
"
2382,lith film ,noun, high quality and contrast photographic film used in lithographic printing
2383,lithograph ,noun,"a work of art printed from a stone or plate by lithography
"
2384,lithographic  ,adjective, referring to lithography
2385,lithographic paper ,noun," fine paper for printing lithographs
"
2386,lithography ,noun," a method of printing in which the ink sticks to greasy areas of treated metal, stone or film and is then transferred to paper 

"
2387,litho plate ,noun," the printing surface in lithography
"
2388,litho prep ,noun,"the make-up of film or repro
"
2389,live area ,noun," the area of an image or page which will print
"
2390,living standards ,plural noun, same as standard of living
2391,Livres Hebdo' ,noun," a French weekly magazine dealing with books and publishing matters
"
2392,load ,noun,"goods which are transported
"
2393,loading ,noun," 1. a substance such as clay or gypsum, added to paper furnish during beating before the papermaking process to make the paper more opaque and more solid."
2394,loan  ,noun," something that is lent and must be returned
"
2395,LOC,abbreviation," Library of Congress Catalog number
"
2396,local  ,adjective,"belonging or relating to the specific area where you live or work
"
2397,Local Area Network ,noun,"a system linking computers, terminals and printers, within a restricted geographical area, which share the same stored information in the network memory. 

"
2398,local author local author ,noun," an author who lives in the area served by a bookshop or local radio station, and who is given special promotion
"
2399,local interest title ,noun,"a book which is interesting to people living in a certain area, but less so to anyone else
"
2400,locally,adverb," in the area near where an office or factory is based
"
2401,local paper ,noun,"a newspaper which sells in a particular area, and carries news about that area
"
"
2403,lock  ,verb," to fasten something to prevent access   

"
2404,lock up ,verb," to lock up type to screw the quoins tight in a chase so that the metal type cannot fall out
"
2405,loft-dried paper ,noun," paper which has been dried slowly in a special drying room
"
2406,logical palette ,noun,"a graphics object that includes the colour palette information it requires
"
2407,logo ,noun,"a special design which identifies the products and publicity material of a company or organisation
"
2408,logotype  ,noun," a single piece of metal type which prints a whole word, a trademark, or the distinctive name of a newspaper, etc.
"
2409,long,adjective,having many words or pages
2410,long-bodied type ,noun," characters cast on a larger body such as 8 point on 9, which means that leading is not needed
"
2411,long column  ,noun,"a column which is longer than the others and has to be cut, or which is allowed to be longer than others to avoid an awkward widow
"
2412,long credit ,noun," terms allowing the borrower a long time to pay
"
2413,long dash ,noun,"same as em dash
"
2414,long descenders ,plural noun," alternative characters in particular typefaces that have longer descenders than the normal characters in the same face
"
2415,long discount  ,noun," a trade discount or discount from a manufacturer to a retailer
"
2416,long grain,noun,paper where the grain runs parallel to the longer side of the sheet
2417,longhand ,noun,handwriting where the words are written out in full and not in shorthand.
"
2419,long page ,noun,"a page which is longer than the others and has to be cut, or which is allowed to be longer than others to avoid an awkward widow
"
2420,long run ,noun," a print run which is longer than normal
"
2421,ong s ,noun," a letter 's' in the form of an 'f', used in books printed before the end of the 18th century
"
2422,long-term ,adjective, concerning a long period of time
2423,long ton ,noun," a measure of weight equalling 1016 kilos
"
2424,look and feel ,noun," the appeal of the design, layout, and ease of use of a website to potential customers and the way the site fits the image the company is trying to put across
"
2425,looker out ,noun, a person who looks out books in a warehouse
2426,look out ,verb," to find books in a warehouse, according to the picking list
"
2427,lookthrough ,noun,"how paper looks when it is held up to the light to examine it for finish or opacity
"
2428,look up ,verb,"to search for information, e.g. by consulting a reference book
"
2429,look-up table ,noun,"a collection of stored results that can be accessed very rapidly by a program without the need to calculate each result whenever needed. 


"
2430,loop,noun," a series of actions that are performed repeatedly until the procedure has been completed
"
2431,loose insert ,noun,an insert which is not bound into the magazine
2432,loose-leaf book,noun,"a book with loose pages which can be taken out and fixed back again on metal rings in a special binder
"
2433,lorem ipsum  ,noun," a Latin-based dummy text used by printers to display page layouts or font typefaces, without being distracted by legible English text
"
2434,Lossless ,noun, mathematical algorithms that eliminate redundant data. 
2435,loss-leader ,noun," an article which is sold very cheaply to attract customers
"
2436,lossless compression ,noun,"an image compression technique that can reduce the number of bits used for each pixel in an image without losing any information or sharpness
"
2437,lossy compression ,noun," an image compression technique that can reduce the number of bits used for each pixel in an image, but in doing so loses information
"
2438,low,adjective," relating to type or blocks which are not as high as the forme and have to be raised by interlaying
"
2439,lower case  ,adjective," relating to small letters such as a, b, c, as opposed to upper case A, B, C. 

"
2440,low-level ,adjective, not very important  
2441,low-level computer language  noun,noun," a programming language similar to machine code
"
2442,low opacity paper ,noun, transparent paper 
2443,low-res,abbreviation," low-resolution
"
2444,low resolution  ,adjective," relating to the ability to display preset shapes on the screen rather than individual pixels.

"
2445,low-resolution graphics ,plural noun," ability to display character-sized graphic blocks or preset shapes on a screen rather than using individual pixels. Compare high-resolution
"
2446,Ludlow,," a trademark for a type of composing machine which sets slugs of display type in large point sizes, used for headings
"
2447,lump sum,noun," money paid in one single amount, not in several small sums."
2448,LUT ,abbreviation," look-up table
"
2449,luxury ,noun," an expensive thing which is not necessary but which is good to have
"
2450,luxury edition  ,noun,"noun an edition printed on fine paper with a superior binding
"
2451,lying press ,noun,"a small press used to hold handbound books while they are being glued. Also called laying press
"
2452,M,prefix," 1. one million. Full form mega. 2. symbol for 1,048,576, used only in computer and electronic related applications. Full form mega 3. one thousand."
2453,machine binding ,noun,binding by an automatic binding machine.
2454,machine-coated paper ,noun,"paper which is coated while being made in the papermaking machine, and is therefore cheaper than paper coated off the machine."
2455,machine code ,noun,instructions and information shown as a series of binary figures which can be read by a computer. Also called machine language.
2456,machine composition,noun,"typesetting by the hot metal method, where the compositor keyboards and the machine sets the type in hot metal."
2457,machine direction ,noun,the way in which the grain of the paper lies in the same direction as the movement of the web along a papermaking machine. Also called grain direction.
2458,machine-finished paper,noun," paper that has been finished by passing through calenders on the papermaking machine. 

2459,machine-glazed paper ,noun," paper that has been dried on a heated cylinder, giving a glossy finish to one side. 

2460,machine language,noun, same as machine code .
2461,machine-made paper ,noun,"paper which has been manufactured by a machine, not handmade ? The grain in machine-made paper runs along the web."
2462,machine minder,noun,a person in charge of a printing machine.
2463,machine proof ,noun," a proof of sheets of a book, taken from the printing press."
2464,machine-readable code ,noun, a set of signs or letters which a computer can read.
2465,machine revise,noun,a final proof taken from the printing press before printing starts.
2466,machine room ,noun, the section of a printing works where the printing takes place.
2467,machinery guards ,noun,pieces of metal which prevent employees from getting hurt by the moving parts of a machine.
2468,machine translation ,noun,translation from one language into another carried out automatically by a computer.
2469,machine wire machine wire ,noun," a wire or plastic cloth in a fourdrinier papermaking machine, on which the paper is formed."
2470,machining,noun, printing on paper using a printing press.
2471,machinist,noun,a person whose job is to work a machine.
2472,mackle ,noun,"a blurred proof, which has been badly printed.
"
2473,macro,noun, a block of instructions which is activated by a single keystroke on a computer.
2474, Macromedia Flash,noun,a program that allows the user to create interactive experiences using animation. 
2475,Microphone,noun,equipment used to translate analog signals into electrical impulses. 
2476,macron macron ,noun, a little line (�) printed above a vowel to show that it is pronounced long.
2477,made endpapers ,noun," specially thick endpapers which are made by glueing several sheets together.
"
2478,magazine ,noun,"1. a regular weekly, monthly or quarterly publication containing articles, stories, photographs and advertisements. 2. a radio or television programme made up of several different items. 3. a container on a Linotype machine which contains the matrices from which the slugs are cast.  4. a container for slides to be used in an automatic projector."
2479,magazine insert ,noun, an advertising sheet put into a magazine when it is mailed or sold.
2480,magazine mailing ,noun, the sending of copies of a magazine by post to subscribers.
2481,magazine publisher ,noun, a publishing house which publishes magazines.
2482,magazine reel stand ,noun,"a device which is near a web-fed press, with spare reels of paper."
2483,magazine supplement ,noun," a supplement to a newspaper, in the form of a magazine format section, usually in colour, given free with the weekend edition of a newspaper."
2484,magenta,noun,"one of the process colours, a shade of red."
2485,magnetic,adjective,relating to something that uses electrical magnetism to record and store information to be read by a computer.
2486,magnetic character reading ,noun," a system that recognises characters by sensing magnetic ink, used on cheques. 

2487,magnetic head ,noun," an electromagnetic device that reads, writes or erases data on a magnetic medium."
2488,magnetic ink,noun," a special ink with magnetic particles in it, used for printing cheques."
2489,magnetic tape ,noun,"tape coated with a magnetic material so that electrical signals can be recorded on to it for speech, film or computer information."
2490,magnification,noun,"the amount by which something has been made to appear larger, or the process of magnifying a picture.
"
2491,magnify ,verb,to make something appear bigger or more important than it really is.
2492,mail,noun, letters and parcels delivered by the Post Office.
2493,mail box ,noun,1. one of several boxes where incoming mail is put in a large building. 2. a box for putting letters or small packages which you want to post. 3. an electronic storage space with an address in which a user's incoming messages are stored.
2494,mailing,noun,the act of sending something in the post.
2495,mailing house ,noun, a company who undertakes distribution of large amounts of printed matter.
2496,mailing list ,noun,1. a list of names and addresses kept by an organisation so that it can send people information or regular publication. 2. an electronic list of e-mail addressees or subscribers who usually have an interest in the same topic.
2497,mailing piece ,noun, a leaflet suitable for sending by direct mail.
2498,mailing shot ,noun, leaflets sent by mail to possible customers.
2499,mail merge ,noun, a wordprocessing program which allows a standard letter to be sent out to a series of different names and addresses.
2500,mail order ,noun,"a system of buying and selling from a catalogue, placing orders and sending goods by mail."
2501,mail-order business ,noun, a company that sells products by mail.
2502,mail-order catalogue ,noun,a catalogue from which a customer orders items to be sent by mail.
2503,mail-order selling ,noun,selling by taking orders and supplying a product by post.
2504,mail room ,noun," a room in an office where incoming letters are sorted and sent to each department, and where outgoing mail is collected for sending."
2505,mail shot ,noun,a large number of information or publicity leaflets sent out to a selected group of prospective customers.
2506,main entry ,noun,"the fullest entry in a catalogue, often with a tracing of related references."
2507,mainframe ,noun, a large-scale high-power computer system that can handle high-capacity memory and backing storage devices as well as servicing a number of operators simultaneously.
2508,main index ,noun,a general index which guides users to more specific entries.
2509,main selection ,noun,a book which is the first choice offered to the club members and is heavily promoted.
2510,maintenance,noun,the process of keeping something in good condition by giving it regular care and attention.
2511,maintenance contract ,noun,an arrangement with a repair company to make regular checks and repairs at special prices.
2513,make even ,verb,"to arrange type so that it runs the full width of the line, or to arrange that the last line of a section being set is a full line."
2514,make good ,verb, to repair or to compensate for something.
2515,makegood,noun,an advertisement which is run a second time because there was a mistake in the first run.
2516,make ready ,verb,"to get a printing machine ready for printing, e.g. by placing the plates in it and testing the paper and the impression."
2517,make-ready time ,noun,the time taken by a printer to prepare the machines and plates for printing.
2518,maker-up ,noun,a person who puts text into pages.
2519,make up ,verb," 1. to compensate for something. 2. to split text into pages with headlines, page numbers, etc., and arrange typeset material into the correct page formats before printing."
2520,making,noun, production of an item. 
2521,making up ,noun, the act of bringing the printed sections of a book together before sewing.
2522,malware ,noun,software such as viruses designed to cause damage or disruption to a computer system.
2523,MAN,abbreviation,metropolitan area network.
2524,management ,noun,"the process of controlling an organisation, company or group."
2525,management accountant,noun,an accountant who prepares financial information for managers so that they can take decisions.
2526,management accounts,noun,"financial information such as sales, expenditure, credit and profitability, prepared so as to assist a manager in taking decisions."
2527,Management By Objectives,noun," a system of managing a company by stating the aims of the organisation as the basis of policy. 

2528,management consultant,noun,a person who gives advice on how to manage a business.
2529,management course ,noun, a training course for managers.
2530,management team ,noun, a group of managers working together.
2531,management trainee ,noun, a young member of staff being trained to be a manager.
2532,management training ,noun, the training of managers by making them study the principles and practices of management.
2533,manager,noun," a person who is responsible for running a company, organisation or group."
2534,managerial,adjective,relating to the work of a manager.
2535,managing director ,noun, a director who is in charge of a whole company.
2536,mandatory,adjective,compulsory.
2537,mandatory meeting ,noun,a meeting which all members have to attend.
2538,manga,noun," a Japanese style of comic-book fantasy drawing, characterised by over-large eyes and a layout in which the panels run right to left."
2539,man-hour ,noun, the amount of work done by one person in one hour. 
2540,manifold paper ,noun,a very thin light paper or airmail paper.
2541,manilla,noun,"fibre from the leaves of a plant grown in the Philippines, used to make strong thick brown paper which is very difficult to tear."
2542,manilla card ,noun, board used in stationery.
2543,manipulate ,verb,"to control people, data or situations to produce a specific result."
2544,manipulation,noun,"the act of moving, editing or changing text or data."
2545,manned ,adjective,with somebody working on it.
2546,manning levels ,noun,the number of people required in each department of a company to do the work efficiently.
2547,manual,noun,"a document or book containing instructions about the operation of a system or machine. 

2548,manual data processing ,noun,the sorting and processing of information without the help of a computer.
2549,manual entry,noun, the act of entering data into a computer by an operator via a keyboard.
2550,manually,adverb,"done by hand, not by a machine."
